ingredient_id;ingredient_name;ingredient_search_term
1;azeite virgem extra;azeite
2;peito de frango;peito de frango
3;alho em pó;alho
4;sal;sal
5;pimenta;pimenta
6;manjericão fresco;manjericão
7;melão verde;melão
8;rabanete;rabanete
9;pepino doce;pepino
10;rúcula selvagem;rúcula
11;tortilhas para wrap;tortilhas para wrap
12;sumo de limão;sumo de limão
13;beterraba com casca murcha;beterraba
14;grão cozido;grão
15;alho;alho
16;tahini;tahini
17;sementes de sésamo (opcional ao tahini);sementes de sésamo
18;limão;limão
19;azeite;azeite
20;cominhos em pó;cominhos
21;polpa de tomate com cebola e alho;polpa de tomate
22;azeitona preta em rodelas;azeitona
23;feijão-branco;feijão-branco
24;esparguete integral Pura Vida;esparguete
25;manjericão;manjericão
26;pimenta preta de moinho;pimenta de moinho
27;malagueta seca;malagueta seca
28;peito de frango em tiras;peito de frango em tiras
29;noz-moscada;noz-moscada
30;caril em pó;caril
31;pimenta de moinho;pimenta de moinho
32;vinagre de sidra;vinagre de sidra
33;alho-francês;alho-francês
34;abóbora limpa;abóbora limpa
35;curgete;curgete
36;azeite;azeite
37;grão-de-bico cozido;grão-de-bico
38;tomilho fresco;tomilho
39;sementes de abóbora Pura Vida;sementes de abóbora
40;ovo;ovo
41;sobras de espinafres;sobras de espinafres
42;sobras de pimento;sobras de pimento
43;sobras de brócolos;sobras de brócolos
44;leite meio-gordo;leite meio-gordo
45;sobras de curgete;sobras de curgete
46;mistura de 4 queijos ralados;mistura de 4 queijos ralados
47;camarão;camarão
48;gota limão;gota limão
49;mel;mel
50;bacon em tiras;bacon em tiras
51;fava congelada;fava
52;arroz agulha;arroz agulha
53;cebola em cubos congelada;cebola em cubos
54;salteado tradicional embalado;salteado tradicional embalado
55;tomate alongado mini;tomate alongado mini
56;lata (2 x 120 g) filete de cavala de conserva;lata filete de cavala de conserva
57;água;água
58;couve-coração;couve-coração
59;iogurte natural probióticos;iogurte natural probióticos
60;coentros frescos;coentros
61;croutons de azeite e alho;croutons de azeite e alho
62;azeite virgem extra;azeite
63;bacalhau demolhado desfiado;bacalhau demolhado desfiado
64;batata palha;batata palha
65;cebola;cebola
66;alho picado;alho picado
67;natas;natas
68;molho bechamel;molho bechamel
69;queijo ralado;queijo ralado
70;pimenta preta;pimenta
71;salsa;salsa
72;postas de bacalhau;postas de bacalhau
73;espinafres;espinafres
74;batata;batata
75;creme de soja culinária Pura Vida;creme de soja culinária
76;queijo flamengo light;queijo flamengo light
77;brócolos;brócolos
78;cebola roxa;cebola roxa
79;batata-doce laranja;batata- laranja
80;grão-de-bico cozido em frasco;grão-de-bico em frasco
81;paprika;paprika
82;cominhos moídos;cominhos moídos
83;alho moído;alho moído
84;espinafre em folha;espinafre em folha
85;queijo flamengo barra;queijo flamengo barra
