product_id,product_name,product_brand,product_quant_unit,energy_kcal,energy_kj,fats,carbohydrates,protein,weight,product_url
pt.continente.2000022,Farinha para Molhos Express sem Glúten Maizena,Maizena,g,370,1600,0.1,90,0.6,250,https://www.continente.pt/produto/farinha-para-molhos-express-sem-gluten-maizena-maizena-2000022.html
pt.continente.2001328,Óleo Alimentar Fula,Fula,l,812,3397,92,0,,3,https://www.continente.pt/produto/oleo-alimentar-fula-fula-2001328.html
pt.continente.2002226,Filete de Cavala em Óleo Pitéu,Pitéu,g,362,1501,31,0.8,20,120,https://www.continente.pt/produto/filete-de-cavala-em-oleo-piteu-piteu-2002226.html
pt.continente.2002229,Molho de Alho Calvé,Calvé,ml,184,771,14,12,1,250,https://www.continente.pt/produto/molho-de-alho-calve-calve-2002229.html
pt.continente.2002232,Molho Whisky Cocktail Calvé,Calvé,ml,,,,,,250,https://www.continente.pt/produto/molho-whisky-cocktail-calve-calve-2002232.html
pt.continente.2003217,Alho Picado em Frasco Margão,Margão,g,,,,,,60,https://www.continente.pt/produto/alho-picado-em-frasco-margao-margao-2003217.html
pt.continente.2003220,Canela Moída em Frasco Margão,Margão,g,,,,,,39,https://www.continente.pt/produto/canela-moida-em-frasco-margao-margao-2003220.html
pt.continente.2003221,Canela em Pau em Saqueta Margão,Margão,g,,,,,,30,https://www.continente.pt/produto/canela-em-pau-em-saqueta-margao-margao-2003221.html
pt.continente.2003222,Caril em Frasco Margão,Margão,g,308,1286,6.5,35.1,11.4,42,https://www.continente.pt/produto/caril-em-frasco-margao-margao-2003222.html
pt.continente.2003260,Granulado de Soja Fina Salutem,Salutem,g,321,1354,2.2,16.5,50,400,https://www.continente.pt/produto/granulado-de-soja-fina-salutem-salutem-2003260.html
pt.continente.2003312,Massa Esparguete Milaneza,Milaneza,g,359,1523,1.8,71,13,500,https://www.continente.pt/produto/massa-esparguete-milaneza-milaneza-2003312.html
pt.continente.2003320,Massa Macarronete Penne Riscado Milaneza,Milaneza,g,359,1523,1.8,71,13,500,https://www.continente.pt/produto/massa-macarronete-penne-riscado-milaneza-milaneza-2003320.html
pt.continente.2003323,Massa Espirais Fusilli Milaneza,Milaneza,g,359,1523,1.8,71,13,500,https://www.continente.pt/produto/massa-espirais-fusilli-milaneza-milaneza-2003323.html
pt.continente.2003334,Massa Espirais Fusilli Tricolor Milaneza,Milaneza,g,354,1502,1.7,70,13,500,https://www.continente.pt/produto/massa-espirais-fusilli-tricolor-milaneza-milaneza-2003334.html
pt.continente.2003335,Cominhos Moídos em Saqueta Margão,Margão,g,,,,,,50,https://www.continente.pt/produto/cominhos-moidos-em-saqueta-margao-margao-2003335.html
pt.continente.2003379,Mistura de Pimenta e Especiarias 5 Bagas com Moinho em Frasco Margão,Margão,g,,,,,,24,https://www.continente.pt/produto/mistura-de-pimenta-e-especiarias-5-bagas-com-moinho-em-frasco-margao-margao-2003379.html
pt.continente.2003395,Pimenta Preta com Moínho em Frasco Margão,Margão,g,,,,,,35,https://www.continente.pt/produto/pimenta-preta-com-moinho-em-frasco-margao-margao-2003395.html
pt.continente.2003415,Paprika em Frasco Margão,Margão,g,,,,,,40,https://www.continente.pt/produto/paprika-em-frasco-margao-margao-2003415.html
pt.continente.2003422,Pimenta Branca Moída em Frasco Margão,Margão,g,,,,,,40,https://www.continente.pt/produto/pimenta-branca-moida-em-frasco-margao-margao-2003422.html
pt.continente.2003439,Farinha de Mandioca sem Glúten Ferbar,Ferbar,g,365,1550,0,89,1.3,500,https://www.continente.pt/produto/farinha-de-mandioca-sem-gluten-ferbar-ferbar-2003439.html
pt.continente.2003469,Piri-piri Malagueta Moída em Frasco Margão,Margão,g,,,,,,38,https://www.continente.pt/produto/piri-piri-malagueta-moida-em-frasco-margao-margao-2003469.html
pt.continente.2003475,Salsa Folha em Saqueta Margão,Margão,g,,,,,,6,https://www.continente.pt/produto/salsa-folha-em-saqueta-margao-margao-2003475.html
pt.continente.2003522,Polpa de Tomate Compal da Horta,Compal da Horta,g,45,190,0.5,9.1,1.7,500,https://www.continente.pt/produto/polpa-de-tomate-compal-da-horta-compal-da-horta-2003522.html
pt.continente.2003526,Polpa de Tomate Compal da Horta,Compal da Horta,kg,45,190,0.5,9.1,1.7,1,https://www.continente.pt/produto/polpa-de-tomate-compal-da-horta-compal-da-horta-2003526.html
pt.continente.2003528,Polpa de Tomate Compal da Horta,Compal da Horta,g,45,190,0.5,9.1,1.7,210,https://www.continente.pt/produto/polpa-de-tomate-compal-da-horta-compal-da-horta-2003528.html
pt.continente.2003531,Polpa de Tomate com Cebola e Alho Compal da Horta,Compal da Horta,g,60,253,1.3,9.6,1.7,500,https://www.continente.pt/produto/polpa-de-tomate-com-cebola-e-alho-compal-da-horta-compal-da-horta-2003531.html
pt.continente.2003562,Feijão Manteiga Cozido Compal da Horta,Compal da Horta,g,88,371,0.7,11,6.5,845,https://www.continente.pt/produto/feijao-manteiga-cozido-compal-da-horta-compal-da-horta-2003562.html
pt.continente.2003564,Feijão Manteiga Cozido Compal da Horta,Compal da Horta,g,88,371,0.7,11,6.5,410,https://www.continente.pt/produto/feijao-manteiga-cozido-compal-da-horta-compal-da-horta-2003564.html
pt.continente.2003566,Feijão Branco Cozido Compal da Horta,Compal da Horta,g,76,318,0.5,9.6,5.4,845,https://www.continente.pt/produto/feijao-branco-cozido-compal-da-horta-compal-da-horta-2003566.html
pt.continente.2003571,Feijão Branco Cozido Compal da Horta,Compal da Horta,g,76,318,0.5,9.6,5.4,410,https://www.continente.pt/produto/feijao-branco-cozido-compal-da-horta-compal-da-horta-2003571.html
pt.continente.2003573,Feijão Encarnado Cozido Compal da Horta,Compal da Horta,g,98,413,0.6,13,7.6,845,https://www.continente.pt/produto/feijao-encarnado-cozido-compal-da-horta-compal-da-horta-2003573.html
pt.continente.2003580,Feijão Frade Cozido Compal da Horta,Compal da Horta,g,101,427,0.7,15,6.8,845,https://www.continente.pt/produto/feijao-frade-cozido-compal-da-horta-compal-da-horta-2003580.html
pt.continente.2003582,Feijão Frade Cozido Compal da Horta,Compal da Horta,g,101,427,0.7,15,6.8,410,https://www.continente.pt/produto/feijao-frade-cozido-compal-da-horta-compal-da-horta-2003582.html
pt.continente.2003591,Grão de Bico Cozido sem Glúten Compal da Horta,Compal da Horta,g,111,466,2.6,12,6.5,845,https://www.continente.pt/produto/grao-de-bico-cozido-sem-gluten-compal-da-horta-compal-da-horta-2003591.html
pt.continente.2003596,Grão de Bico Cozido sem Glúten Compal da Horta,Compal da Horta,g,113,474,2.6,12.3,6.9,410,https://www.continente.pt/produto/grao-de-bico-cozido-sem-gluten-compal-da-horta-compal-da-horta-2003596.html
pt.continente.2003604,Ervilhas Cozidas Lata sem Glúten Compal da Horta,Compal da Horta,g,76,316,0.9,8,5.4,410,https://www.continente.pt/produto/ervilhas-cozidas-lata-sem-gluten-compal-da-horta-compal-da-horta-2003604.html
pt.continente.2003744,Pêssego em Calda Ferbar,Ferbar,g,63,267,0.5,15,0.5,820,https://www.continente.pt/produto/pessego-em-calda-ferbar-ferbar-2003744.html
