product_price_id,product_id,supermarket_id,price_date,price,campaign_price,price_per_unit,ingredient_id
523,pt.pingo-doce.859288,2,2026-05-01,3.39,,4.52,1
524,pt.pingo-doce.914810,2,2026-05-01,2.44,1.49,17.33,1
525,pt.pingo-doce.416867,2,2026-05-01,11.99,,6,1
526,pt.pingo-doce.755922,2,2026-05-01,4.69,3.49,4.65,1
527,pt.pingo-doce.710282,2,2026-05-01,3.49,,6.98,1
528,pt.pingo-doce.945745,2,2026-05-01,0.99,,9.9,1
529,pt.pingo-doce.755916,2,2026-05-01,5.49,,7.32,1
530,pt.pingo-doce.762041,2,2026-05-01,5.99,4.49,5.99,1
531,pt.pingo-doce.52579,2,2026-05-01,6.49,,8.65,1
532,pt.pingo-doce.268224,2,2026-05-01,5.79,,7.72,1
533,pt.pingo-doce.58649,2,2026-05-01,34.99,,7,1
534,pt.pingo-doce.722041,2,2026-05-01,5.79,,7.72,1
535,pt.continente.6294680,1,2026-05-01,11.95,10.75,21.5,1
536,pt.continente.7749224,1,2026-05-01,21.99,20.6,10.3,1
537,pt.pingo-doce.978191,2,2026-05-01,0.95,,13.19,1
538,pt.pingo-doce.700039,2,2026-05-01,2.24,1.39,17.82,1
539,pt.pingo-doce.559259,2,2026-05-01,1.12,,13.18,1
540,pt.pingo-doce.935217,2,2026-05-01,3.29,,13.16,1
541,pt.pingo-doce.594708,2,2026-05-01,3.15,,40.38,1
542,pt.pingo-doce.559180,2,2026-05-01,1.79,,21.06,1
543,pt.continente.7749625,1,2026-05-01,37.49,23.99,8,1
544,pt.continente.6972399,1,2026-05-01,18.78,6.99,9.32,1
545,pt.continente.6972408,1,2026-05-01,60.99,39.99,8,1
546,pt.continente.7759709,1,2026-05-01,6.61,5.24,10.48,1
547,pt.continente.5739433,1,2026-05-01,5.69,3.48,6.96,1
548,pt.continente.2893574,1,2026-05-01,7.99,3.99,5.32,1
549,pt.pingo-doce.654603,2,2026-05-01,4.69,4.29,5.72,1
550,pt.pingo-doce.705656,2,2026-05-01,17.55,,5.85,1
551,pt.continente.8773899,1,2026-05-01,9.99,7.99,15.98,1
552,pt.continente.2589586,1,2026-05-01,34.99,27.99,5.6,1
553,pt.continente.7745827,1,2026-05-01,22.99,18.39,6.13,1
554,pt.continente.7748019,1,2026-05-01,,4.4,4.4,1
555,pt.continente.7722816,1,2026-05-01,15.01,14.39,7.2,1
556,pt.continente.7068359,1,2026-05-01,,3.59,4.79,1
557,pt.continente.5598051,1,2026-05-01,,3.69,4.92,1
558,pt.continente.8038241,1,2026-05-01,16.49,12.96,25.92,1
559,pt.continente.2798062,1,2026-05-01,6.68,5.99,11.98,1
560,pt.continente.6972401,1,2026-05-01,19.98,7.99,10.65,1
561,pt.continente.5311979,1,2026-05-01,3.99,2.59,12.95,1
562,pt.continente.7082533,1,2026-05-01,,3.39,4.52,1
563,pt.continente.7431299,1,2026-05-01,,13.99,4.66,1
564,pt.pingo-doce.906654,2,2026-05-01,20.49,14.34,4.78,1
565,pt.pingo-doce.906653,2,2026-05-01,5.49,,7.32,1
566,pt.continente.7642190,1,2026-05-01,,18.99,6.33,1
567,pt.continente.5409202,1,2026-05-01,11.99,5.99,7.99,1
568,pt.continente.2533276,1,2026-05-01,5.59,4.47,8.94,1
569,pt.continente.2533279,1,2026-05-01,7.89,6.31,8.41,1
570,pt.continente.2533491,1,2026-05-01,39.99,31.99,6.4,1
571,pt.continente.7745830,1,2026-05-01,26.89,21.51,7.17,1
572,pt.pingo-doce.369448,2,2026-05-01,6.99,5.49,7.32,1
573,pt.continente.8168174,1,2026-05-01,,2.49,12.45,1
574,pt.pingo-doce.697573,2,2026-05-01,4.49,,5.99,1
575,pt.continente.7259028,1,2026-05-01,,4.69,6.25,1
576,pt.continente.7722814,1,2026-05-01,16,,8,1
577,pt.continente.7108347,1,2026-05-01,,4.29,5.72,1
578,pt.continente.8696863,1,2026-05-01,,1.99,7.96,1
579,pt.continente.6028467,1,2026-05-01,,15.99,5.33,1
580,pt.continente.6869203,1,2026-05-01,,5.99,7.99,1
581,pt.continente.5391856,1,2026-05-01,6.67,5.29,10.58,1
582,pt.pingo-doce.421157,2,2026-05-01,8.29,,,2
583,pt.pingo-doce.544184,2,2026-05-01,6.49,5.99,,2
584,pt.continente.8529347,1,2026-05-01,5.99,,5.99,2
585,pt.pingo-doce.465789,2,2026-05-01,6.59,,,2
586,pt.pingo-doce.925911,2,2026-05-01,2.54,,33.87,3
587,pt.continente.7371792,1,2026-05-01,0.99,,5.82,3
588,pt.pingo-doce.400298,2,2026-05-01,0.85,,4.25,3
589,pt.pingo-doce.906848,2,2026-05-01,6.99,,,3
590,pt.continente.3774478,1,2026-05-01,2.54,1.9,25.33,3
591,pt.continente.2002229,1,2026-05-01,2.99,1.94,7.76,3
592,pt.continente.6646028,1,2026-05-01,4.29,,82.5,3
593,pt.pingo-doce.826208,2,2026-05-01,1.99,1.59,22.08,3
594,pt.pingo-doce.943744,2,2026-05-01,1.74,,43.5,3
595,pt.pingo-doce.930853,2,2026-05-01,1.79,,7.16,3
596,pt.pingo-doce.925901,2,2026-05-01,2.99,,5.98,3
597,pt.pingo-doce.856645,2,2026-05-01,1.25,,5,3
598,pt.continente.7576983,1,2026-05-01,1.74,1.3,32.5,3
599,pt.pingo-doce.12527,2,2026-05-01,3.54,,59,3
600,pt.continente.8485120,1,2026-05-01,3.79,2.46,9.84,3
601,pt.pingo-doce.915650,2,2026-05-01,2.39,,5.98,3
602,pt.continente.7209865,1,2026-05-01,0.89,,16.18,3
603,pt.pingo-doce.504239,2,2026-05-01,1.19,,11.9,3
604,pt.continente.2907529,1,2026-05-01,1.19,,7.93,3
605,pt.continente.7576992,1,2026-05-01,1.29,0.96,24,3
606,pt.continente.2003217,1,2026-05-01,3.54,2.65,44.17,3
607,pt.continente.7320080,1,2026-05-01,1.29,,12.9,3
608,pt.pingo-doce.893466,2,2026-05-01,1.99,,4.97,3
609,pt.continente.4599477,1,2026-05-01,2.39,,5.98,3
610,pt.continente.5104239,1,2026-05-01,6.69,,0.67,3
611,pt.pingo-doce.945236,2,2026-05-01,0.99,,9.9,3
612,pt.continente.8529309,1,2026-05-01,2.45,1.59,6.91,3
613,pt.continente.7303769,1,2026-05-01,0.99,,18,3
614,pt.continente.7735408,1,2026-05-01,2.49,,62.25,3
