ingredient_id,product_id,final_score
1,pt.pingo-doce.859288,0.9723
1,pt.continente.6294680,0.8095
2,pt.pingo-doce.421157,0.6194
3,pt.pingo-doce.925911,0.9608
3,pt.continente.7371792,0.8933
4,pt.pingo-doce.1805,0.9475
4,pt.continente.5621157,0.8303
5,pt.pingo-doce.997255,0.9101
5,pt.continente.6483224,0.8647
6,pt.pingo-doce.731806,0.929
6,pt.continente.7626339,0.8452
7,pt.continente.6643153,0.6721
7,pt.pingo-doce.495208,0.6295
8,pt.continente.6803911,0.7163
8,pt.pingo-doce.643270,0.7106
9,pt.pingo-doce.42854,0.9741
9,pt.continente.8758065,0.8256
10,pt.pingo-doce.725557,0.684
10,pt.continente.7578234,0.6796
11,pt.pingo-doce.966979,0.7223
11,pt.continente.4304000,0.6717
12,pt.pingo-doce.815126,0.8243
12,pt.continente.4322897,0.7478
13,pt.continente.2113690,0.605
14,pt.pingo-doce.999332,0.8752
14,pt.continente.2735735,0.7813
15,pt.pingo-doce.925911,0.9608
15,pt.continente.7371792,0.8933
16,pt.continente.6719113,0.7984
17,pt.pingo-doce.922698,0.9371
17,pt.continente.7194634,0.8887
18,pt.pingo-doce.54677,0.8126
18,pt.continente.2076509,0.7201
19,pt.pingo-doce.859288,0.9723
19,pt.continente.6294680,0.8095
20,pt.continente.7203228,0.8436
20,pt.pingo-doce.997243,0.8187
21,pt.pingo-doce.923974,0.9797
21,pt.continente.6937650,0.9303
22,pt.continente.8537583,0.8456
22,pt.pingo-doce.986817,0.7686
24,pt.pingo-doce.640010,0.8107
24,pt.continente.2822444,0.7576
25,pt.pingo-doce.731806,0.929
25,pt.continente.7626339,0.8452
26,pt.continente.2507934,0.8556
26,pt.pingo-doce.856745,0.8021
27,pt.pingo-doce.1002409,0.6394
27,pt.continente.8377623,0.6138
30,pt.pingo-doce.999329,0.9378
30,pt.continente.6645546,0.7715
31,pt.continente.2507934,0.8556
31,pt.pingo-doce.856745,0.8021
32,pt.pingo-doce.952611,0.9033
32,pt.continente.7399643,0.8999
34,pt.pingo-doce.962770,0.6542
35,pt.pingo-doce.42855,0.8584
35,pt.continente.4721823,0.6032
36,pt.pingo-doce.859288,0.9723
36,pt.continente.6294680,0.8095
38,pt.pingo-doce.999335,0.8849
38,pt.continente.7576912,0.8183
39,pt.pingo-doce.979369,0.9955
39,pt.continente.7194634,0.9281
40,pt.pingo-doce.591396,0.7351
44,pt.pingo-doce.977851,0.6417
44,pt.continente.8615168,0.6168
45,pt.continente.7643355,0.6337
46,pt.pingo-doce.1007044,0.8336
47,pt.pingo-doce.641925,0.7351
47,pt.continente.3815246,0.6772
48,pt.pingo-doce.954152,0.6684
48,pt.continente.7646257,0.6182
49,pt.pingo-doce.845747,0.8741
49,pt.continente.7393886,0.794
50,pt.pingo-doce.644660,0.9381
50,pt.continente.5243280,0.8006
51,pt.continente.5520179,0.6449
53,pt.pingo-doce.323341,0.8369
53,pt.continente.5710395,0.692
54,pt.pingo-doce.845734,0.9099
55,pt.pingo-doce.990646,0.9708
55,pt.continente.7630607,0.8413
56,pt.continente.6083294,0.787
56,pt.pingo-doce.822526,0.6778
57,pt.pingo-doce.963446,0.8812
57,pt.continente.3035609,0.8743
59,pt.continente.7834037,0.7428
59,pt.pingo-doce.980852,0.6379
60,pt.pingo-doce.953132,0.8659
60,pt.continente.2907551,0.7461
61,pt.pingo-doce.945236,0.8801
61,pt.continente.4411982,0.7181
62,pt.pingo-doce.859288,0.9723
62,pt.continente.6294680,0.8095
63,pt.pingo-doce.542890,0.6035
65,pt.pingo-doce.955551,0.9128
65,pt.continente.5710395,0.8113
66,pt.pingo-doce.504239,0.8658
66,pt.continente.7576983,0.7634
67,pt.pingo-doce.919803,0.8564
67,pt.continente.4155214,0.7319
68,pt.pingo-doce.642527,0.8885
68,pt.continente.5198567,0.7421
69,pt.continente.7918199,0.9328
69,pt.pingo-doce.756484,0.8152
70,pt.pingo-doce.997255,0.9101
70,pt.continente.6483224,0.8647
71,pt.pingo-doce.947530,0.9056
71,pt.continente.2003475,0.8866
72,pt.continente.7833381,0.6788
73,pt.pingo-doce.906394,0.8979
73,pt.continente.2839624,0.8094
75,pt.pingo-doce.960351,0.8915
75,pt.continente.2377626,0.8736
76,pt.pingo-doce.879923,0.9036
76,pt.continente.7629311,0.8884
77,pt.pingo-doce.495691,0.7136
77,pt.continente.6588553,0.6307
78,pt.pingo-doce.958371,0.7872
78,pt.continente.5394157,0.6122
79,pt.continente.7382501,0.6331
81,pt.continente.7599916,0.8581
81,pt.pingo-doce.944425,0.8499
82,pt.continente.7203228,0.8915
82,pt.pingo-doce.997243,0.8499
83,pt.continente.6646028,0.8669
84,pt.pingo-doce.323609,0.76
84,pt.continente.2839624,0.7473
85,pt.pingo-doce.575189,0.8558
85,pt.continente.7841466,0.6378
86,pt.continente.8145317,0.7467
86,pt.pingo-doce.971112,0.7184
87,pt.pingo-doce.930380,0.7324
87,pt.continente.7466372,0.6373
88,pt.continente.8145289,0.7597
88,pt.pingo-doce.971112,0.7381
89,pt.pingo-doce.52137,0.9376
89,pt.continente.5779336,0.9208
90,pt.pingo-doce.11001,0.662
91,pt.continente.8145317,0.7572
91,pt.pingo-doce.930380,0.7314
92,pt.pingo-doce.731943,0.7455
93,pt.pingo-doce.934099,0.9729
93,pt.continente.7434253,0.9263
96,pt.continente.7625560,0.8413
96,pt.pingo-doce.882118,0.8035
97,pt.pingo-doce.669374,0.6376
100,pt.pingo-doce.731943,0.922
100,pt.continente.8615277,0.8593
101,pt.pingo-doce.461603,0.6051
102,pt.continente.7739021,0.6508
102,pt.pingo-doce.991377,0.6324
103,pt.continente.7636120,0.7838
103,pt.pingo-doce.620489,0.7802
106,pt.continente.8539902,0.6678
107,pt.pingo-doce.591396,0.7351
109,pt.pingo-doce.963899,0.9261
109,pt.continente.6189905,0.8515
110,pt.pingo-doce.461603,0.6051
111,pt.continente.2507934,0.7949
111,pt.pingo-doce.856745,0.7528
112,pt.pingo-doce.997255,0.9101
112,pt.continente.6483224,0.8647
113,pt.pingo-doce.598151,0.9658
113,pt.continente.8694021,0.948
116,pt.pingo-doce.645794,0.9343
116,pt.continente.6645679,0.9233
117,pt.pingo-doce.949916,0.8224
117,pt.continente.6331861,0.8089
118,pt.pingo-doce.46442,0.9973
118,pt.continente.7992899,0.8768
119,pt.continente.2113690,0.605
120,pt.pingo-doce.1001446,0.8888
120,pt.continente.8718657,0.8209
121,pt.continente.7371799,0.767
121,pt.pingo-doce.813487,0.7446
122,pt.pingo-doce.999335,0.8849
122,pt.continente.7576912,0.8183
124,pt.continente.7798984,0.7459
125,pt.pingo-doce.701543,0.8965
125,pt.continente.7571617,0.8204
126,pt.pingo-doce.11001,0.7649
126,pt.continente.2340420,0.7184
127,pt.pingo-doce.853098,0.6468
127,pt.continente.3854224,0.6468
128,pt.pingo-doce.949194,0.7106
128,pt.continente.4676679,0.6912
129,pt.pingo-doce.977851,0.6417
129,pt.continente.8615168,0.6168
130,pt.pingo-doce.54677,0.8126
130,pt.continente.2076509,0.7201
131,pt.pingo-doce.923664,0.7155
131,pt.continente.7501688,0.6947
132,pt.pingo-doce.922698,0.9371
132,pt.continente.7194634,0.8887
133,pt.pingo-doce.753483,0.946
133,pt.continente.6780868,0.8067
134,pt.pingo-doce.897433,0.6317
135,pt.continente.6582982,0.7002
136,pt.continente.4097399,0.7187
137,pt.pingo-doce.11001,0.662
138,pt.pingo-doce.924371,0.738
138,pt.continente.4995270,0.7171
139,pt.pingo-doce.1805,0.9109
139,pt.continente.2021421,0.7868
140,pt.continente.7996599,0.652
140,pt.pingo-doce.839396,0.6413
141,pt.pingo-doce.54901,0.9642
141,pt.continente.2076826,0.7753
142,pt.pingo-doce.997242,0.7919
142,pt.continente.8155330,0.7218
143,pt.pingo-doce.805307,0.9795
143,pt.continente.6543392,0.9411
144,pt.continente.8537583,0.8456
144,pt.pingo-doce.986817,0.7686
145,pt.continente.2112223,0.7832
147,pt.continente.7648367,0.8799
147,pt.pingo-doce.694536,0.8023
148,pt.pingo-doce.639674,0.7489
148,pt.continente.7513748,0.658
149,pt.pingo-doce.500109,0.9865
149,pt.continente.8422451,0.8506
150,pt.pingo-doce.495691,0.7136
150,pt.continente.6588553,0.6307
151,pt.pingo-doce.952910,0.8706
151,pt.continente.7371858,0.8652
153,pt.pingo-doce.323609,0.8678
153,pt.continente.2839624,0.7653
154,pt.pingo-doce.700405,0.7105
154,pt.continente.7571622,0.6964
155,pt.pingo-doce.863869,0.838
156,pt.pingo-doce.982490,0.8774
